Protocol,IP,Size,Target
TCP,162.254.197.41,138,1
TCP,10.1.27.29,60,1
UDP,224.0.0.251,112,1
UDP,ff02::fb,132,1
TCP,10.1.27.29,148,1
TCP,162.254.197.41,54,1
TCP,10.1.27.37,60,1
TCP,162.254.197.41,138,1
TCP,10.1.27.29,60,1
UDP,8.8.8.8,91,1
UDP,8.8.8.8,81,1
UDP,10.1.27.29,202,1
UDP,10.1.27.29,130,1
TCP,23.96.208.208,66,1
TCP,13.107.3.128,66,1
TCP,10.1.27.29,66,1
TCP,13.107.3.128,54,1
TCP,13.107.3.128,240,1
TCP,10.1.27.29,60,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,796,1
TCP,13.107.3.128,54,1
TCP,13.107.3.128,147,1
TCP,10.1.27.29,60,1
TCP,10.1.27.29,105,1
TCP,13.107.3.128,634,1
TCP,10.1.27.29,60,1
TCP,10.1.27.29,514,1
TCP,10.1.27.29,66,1
TCP,23.96.208.208,54,1
TCP,23.96.208.208,250,1
TCP,13.107.3.128,54,1
TCP,10.1.27.29,174,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,171,1
TCP,23.96.208.208,54,1
TCP,23.96.208.208,147,1
TCP,162.254.197.41,54,1
TCP,104.16.59.37,112,1
TCP,10.1.27.29,60,1
TCP,10.1.27.29,105,1
TCP,23.96.208.208,757,1
TCP,10.1.27.29,93,1
TCP,104.16.59.37,54,1
TCP,162.254.197.41,138,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,23.96.208.208,54,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,23.96.208.208,54,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,23.96.208.208,54,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1173,1
TCP,23.96.208.208,54,1
TCP,10.1.27.29,60,1
UDP,23.111.8.144,92,1
TCP,10.1.27.29,148,1
TCP,162.254.197.41,54,1
TCP,40.77.226.250,54,1
TCP,10.1.27.29,60,1
TCP,40.77.226.250,54,1
TCP,162.254.197.41,138,1
TCP,10.1.27.29,60,1
TCP,10.1.27.29,148,1
TCP,162.254.197.41,54,1
UDP,8.8.8.8,75,1
UDP,10.1.27.29,365,1
UDP,8.8.8.8,83,1
TCP,172.217.23.46,66,1
TCP,10.1.27.29,66,1
TCP,172.217.23.46,54,1
TCP,172.217.23.46,246,1
TCP,10.1.27.29,60,1
UDP,10.1.27.29,339,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,533,1
TCP,172.217.23.46,54,1
TCP,172.217.23.46,147,1
TCP,172.217.23.46,231,1
TCP,172.217.23.46,1371,1
TCP,10.1.27.29,284,1
TCP,10.1.27.29,123,1
TCP,10.1.27.29,92,1
TCP,172.217.23.46,54,1
TCP,172.217.23.46,92,1
TCP,10.1.27.29,60,1
UDP,10.1.27.255,636,1
TCP,10.1.27.29,624,1
TCP,10.1.27.29,117,1
TCP,10.1.27.29,176,1
TCP,172.217.23.46,54,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,172.217.23.46,54,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1415,1
TCP,172.217.23.46,54,1
UDP,8.8.8.8,92,1
UDP,10.1.27.29,137,1
UDP,8.8.8.8,90,1
TCP,172.217.23.46,215,1
TCP,81.23.62.140,66,1
TCP,81.23.62.140,66,1
TCP,172.217.23.46,180,1
TCP,10.1.27.29,66,1
TCP,10.1.27.29,66,1
TCP,81.23.62.140,54,1
TCP,81.23.62.140,54,1
TCP,81.23.62.140,263,1
TCP,81.23.62.140,263,1
TCP,10.1.27.29,297,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
